,county_name,fips,min_lat,max_lat,min_lng,max_lng,population
2945,richmond,51760,37.446553,37.602446,-77.601011,-77.385322,230436
2627,Hays,48209,29.752444,30.356312,-98.2976,-97.70955,230191
2085,Lake,39085,41.56967,42.251602,-81.495181,-81.002116,230149
1873,Saratoga,36091,42.775377,43.398045,-74.1601,-73.57334200000001,229863
564,Canyon,16027,43.290253,43.880237,-117.032578,-116.47339299999999,229849
2990,Whatcom,53073,48.627013,49.002494,-123.32242,-120.654676,229247
2543,Brazos,48041,30.330288,30.973737,-96.601854,-96.07996899999999,229211
2092,Mahoning,39099,40.899727,41.134475,-81.086919,-80.518815,228683
1860,Oneida,36065,42.863319,43.615229,-75.886756,-75.069165,228671
2323,Berkeley,45015,32.818777000000004,33.507172,-80.361851,-79.44651999999999,227907
845,Linn,19113,41.859836,42.299063000000004,-91.835262,-91.363263,226706
50,Montgomery,1101,31.965065000000003,32.50169,-86.498531,-85.918577,226486
1532,Jefferson,29099,38.003499,38.501877,-90.780185,-90.24985799999999,225081
1925,Gaston,37071,35.147978,35.419616,-81.456505,-80.922882,224529
1,Baldwin,1003,30.146561,31.319017,-88.037309,-87.366591,223234
2222,Jackson,41029,42.002634,42.996899,-123.231628,-122.28183700000001,220944
242,Yolo,6113,38.313047999999995,38.92593,-122.422048,-121.50101699999999,220500
329,Clay,12019,29.71867,30.193465999999997,-82.049442,-81.58120699999999,219252
189,Butte,6007,39.295621000000004,40.152024,-122.06943100000001,-121.076695,219186
1802,Doña Ana,35013,31.783147999999997,33.052795,-107.299681,-106.340473,218195
58,Shelby,1117,33.018664,33.546155999999996,-87.02684599999999,-86.340937,217702
1902,Cabarrus,37025,35.184048,35.507163,-80.788494,-80.295236,216453
110,Yuma,4027,32.038607,33.464657,-114.81659099999999,-113.33321200000002,213787
1217,Barnstable,25001,41.46411,42.134515,-70.758464,-69.858861,212990
104,Mohave,4015,34.209626,37.000821,-114.754681,-112.52896799999999,212181
365,Okaloosa,12091,30.325353999999997,30.996979999999997,-86.800554,-86.388515,210738
604,Champaign,17019,39.879092,40.400612,-88.46366,-87.92876,209689
2278,Lackawanna,42069,41.161258000000004,41.642263,-75.834695,-75.440389,209674
62,Tuscaloosa,1125,33.003378999999995,33.609833,-87.840711,-87.065738,209355
1940,Johnston,37101,35.256383,35.817825,-78.708629,-78.064603,209339
1859,Niagara,36063,43.018863,43.634799,-79.200936,-78.46041600000001,209281
2063,Delaware,39041,40.125855,40.443989,-83.249626,-82.74493100000001,209177
2490,Montgomery,47125,36.312442,36.642371000000004,-87.64115699999999,-87.113244,208993
1424,Harrison,28047,30.154294,30.677291999999998,-89.341752,-88.795147,208080
1192,York,23031,42.917126,43.814278,-70.989122,-70.22209000000001,207641
2306,Washington,42125,39.952016,40.477789,-80.51928000000001,-79.838999,206865
2055,Clermont,39025,38.770414,39.270796000000004,-84.32004,-83.99311999999999,206428
716,Elkhart,18039,41.434909000000005,41.760513,-86.062575,-85.653461,206341
455,Hall,13139,34.098281,34.514096,-84.062841,-83.615251,204441
2956,Benton,53005,45.835962,46.727396,-119.876879,-118.94106000000001,204390
1122,Calcasieu,22019,30.037309999999998,30.490523,-93.765851,-92.887222,203436
2319,Anderson,45007,34.208861999999996,34.819475,-82.992232,-82.313996,202558
507,Richmond,13245,33.227165,33.544934000000005,-82.353498,-81.828336,202518
546,Hawaii,15001,18.865460000000002,20.321452999999998,-156.120001,-154.75579199999999,201513
1382,St. Louis,27137,46.649240999999996,48.631493,-93.097666,-91.78792800000001,199070
2120,Trumbull,39155,41.133192,41.501687,-81.00335600000001,-80.518454,197974
1956,Onslow,37133,34.399705,34.984419,-77.68056,-77.09660500000001,197938
2216,Deschutes,41017,43.610227,44.393437,-122.002675,-119.89636499999999,197692
3099,Racine,55101,42.610817,42.843609,-88.30806,-87.043899,196311
492,Muscogee,13215,32.373874,32.608137,-85.080784,-84.667463,195769
775,Tippecanoe,18157,40.214365,40.562959,-87.09535699999999,-86.694597,195732
678,Sangamon,17167,39.522104,39.976735999999995,-89.994514,-89.21737399999999,194672
345,Hernando,12053,28.433290000000003,28.694908,-82.778437,-82.054469,193920
2410,Minnehaha,46099,43.499157000000004,43.849507,-97.129509,-96.452835,193134
194,El Dorado,6017,38.502349,39.067489,-121.14100900000001,-119.877248,192843
2322,Beaufort,45013,32.07689,32.704321,-81.016341,-80.305711,192122
1277,Livingston,26093,42.423904,42.783263,-84.15818900000001,-83.664808,191995
2510,Sumner,47165,36.244203999999996,36.652378999999996,-86.754795,-86.205388,191283
1303,Saginaw,26145,43.128452,43.568899,-84.369977,-83.695205,190539
1831,Broome,36007,41.99779,42.415702,-76.13018100000001,-75.35957900000001,190488
327,Charlotte,12015,26.769552,27.03525,-82.437327,-81.562202,188910
3092,Outagamie,55087,44.241946999999996,44.590644,-88.73977,-88.189941,187885
2253,Butler,42019,40.669233,41.173134000000005,-80.16529,-79.689868,187853
1730,Sarpy,31153,40.994308000000004,41.1911,-96.339805,-95.841611,187196
1417,DeSoto,28033,34.70795,34.995694,-90.313476,-89.72335600000001,184945
